,Num days
swagger-api/swagger-codegen,35.81447609599395
apex/up,16.42099838969404
facebookresearch/detectron2,69.67044624485597
expressjs/session,51.24454617446394
twitter/twemoji,52.44125347222222
Shopify/toxiproxy,125.9592324074074
tw93/Pake,13.254861593364199
sqlitebrowser/sqlitebrowser,102.04357445987655
moby/buildkit,18.3165811139748
unicorn-engine/unicorn,112.56143568840581
facebookresearch/xformers,34.731549189814814
ant-design/ant-design-mobile,9.939089933206107
fengyuanchen/cropperjs,42.84853553921568
okonet/lint-staged,12.729082303346926
bootandy/dust,49.29042976364522
skypjack/entt,60.56935185185185
localstack/localstack,38.204423789173795
joerick/pyinstrument,31.29375385802469
steipete/Aspects,0.36509953703703707
FreeRDP/FreeRDP,121.87819113756615
sindresorhus/Gifski,38.53428129451567
thephpleague/oauth2-server,48.84251112313612
libimobiledevice/libimobiledevice,1964.8395601851853
tensorflow/serving,26.279648846960168
facebookresearch/fairseq,99.6710100308642
fathyb/carbonyl,8.563935185185185
less/less.js,110.15470826525053
mbdavid/LiteDB,59.47567174145299
quantopian/zipline,149.56578703703704
google/accompanist,12.805078245563273
Homebrew/brew,7.776913708459215
expressjs/morgan,89.27756018518518
SubtitleEdit/subtitleedit,67.95575543091168
kubernetes/kubernetes,5.225972609253361
be5invis/Sarasa-Gothic,14.639062268518517
JessYanCoding/MVPArms,38.126966628086414
stanfordnlp/stanza,95.00950102880658
lucidrains/vit-pytorch,6.197290555032434
squizlabs/PHP_CodeSniffer,47.46881558641976
malcommac/SwiftDate,56.48878644602049
VirusTotal/yara,88.74458304398148
Mango/slideout,46.57404679232804
davemorrissey/subsampling-scale-image-view,58.06401967592592
garris/BackstopJS,32.7134079218107
primer/css,20.097673160173162
symfony/css-selector,12.130354319531797
segmentio/evergreen,9.659734993614304
jackocnr/intl-tel-input,38.47671532755874
git-ftp/git-ftp,120.18379006410258
RetroPie/RetroPie-Setup,98.39127053464755
nate-parrott/Flashlight,4.011054526748971
jacomyal/sigma.js,166.8556238425926
JakubOnderka/PHP-Console-Color,1635.099201388889
deployphp/deployer,23.522212548369264
BishopFox/sliver,19.256302676875595
CreateJS/EaselJS,201.60724768518517
mikebrady/shairport-sync,23.873414926451275
phpspec/prophecy,92.33761188271605
CanCanCommunity/cancancan,306.98983506944444
dotnet/tye,67.66450810185185
oracle/graal,42.45967107228196
ggerganov/kbd-audio,6.787013888888889
