Repo,1,2,3,4,5,6,7,8,9,10
EsotericSoftware/kryo,21,15,12,11,11,10,7,7,7,6
mochajs/mocha,73,61,45,37,35,31,26,24,24,19
ianstormtaylor/slate,132,130,129,61,53,51,22,19,19,12
juanfont/headscale,93,86,83,79,74,68,66,65,61,59
BVLC/caffe,9,5,5,3,3,3,3,3,3,2
NVlabs/instant-ngp,0,0,0,0,0,0,0,0,0,0
nteract/nteract,35,21,20,15,14,11,8,8,7,7
casey/just,0,0,0,0,0,0,0,0,0,0
django-extensions/django-extensions,4,4,4,4,4,4,4,4,4,4
benhmoore/Knwl,0,0,0,0,0,0,0,0,0,0
leongersen/noUiSlider,53,33,21,15,12,9,7,5,4,4
sockeqwe/mosby,10,4,3,1,1,1,0,0,0,0
cryptomator/cryptomator,122,85,69,55,46,39,32,25,22,20
microsoft/winget-cli,50,48,40,37,34,32,31,29,29,29
sqshq/piggymetrics,0,0,0,0,0,0,0,0,0,0
StackExchange/blackbox,1,1,1,1,1,1,1,1,1,1
ai/nanoid,1,1,1,1,0,0,0,0,0,0
realm/realm-swift,129,95,72,50,36,28,18,13,10,6
HelloZeroNet/ZeroNet,0,0,0,0,0,0,0,0,0,0
newren/git-filter-repo,0,0,0,0,0,0,0,0,0,0
dicebear/dicebear,2,2,2,1,1,1,1,1,1,1
ArthurHub/Android-Image-Cropper,3,2,2,1,1,1,0,0,0,0
StockSharp/StockSharp,1,0,0,0,0,0,0,0,0,0
eduardolundgren/tracking.js,1,0,0,0,0,0,0,0,0,0
libretro/RetroArch,0,0,0,0,0,0,0,0,0,0
apple/swift,0,0,0,0,0,0,0,0,0,0
phw/peek,13,11,11,10,8,7,5,5,2,1
Netflix/metaflow,89,82,65,55,45,32,26,21,16,15
petkaantonov/bluebird,61,28,23,13,7,4,3,2,1,1
obsproject/obs-studio,4,4,4,4,4,4,4,4,4,4
wekan/wekan,362,266,202,162,133,110,90,76,54,45
guardicore/monkey,17,17,15,15,15,14,14,14,14,13
insidegui/WWDC,14,14,14,1,0,0,0,0,0,0
apache/jmeter,8,5,5,5,5,5,5,5,5,5
Ralim/IronOS,18,15,12,11,10,10,9,9,9,9
clips/pattern,0,0,0,0,0,0,0,0,0,0
gruns/icecream,2,0,0,0,0,0,0,0,0,0
sampotts/plyr,39,23,13,9,5,4,3,2,1,1
tabulapdf/tabula,17,16,16,15,13,13,8,7,5,5
jonas/tig,28,26,25,24,22,20,20,19,18,18
google-deepmind/lab,1,1,0,0,0,0,0,0,0,0
locomotivemtl/locomotive-scroll,1,1,1,1,0,0,0,0,0,0
emilk/egui,1,1,1,1,0,0,0,0,0,0
dandavison/delta,39,34,28,26,24,22,17,16,15,14
ruby/ruby,7,6,6,5,4,4,4,4,4,4
mikefarah/yq,104,73,50,31,18,10,8,5,4,4
rxhanson/Rectangle,20,18,17,17,16,16,12,11,9,6
go-pg/pg,0,0,0,0,0,0,0,0,0,0
Netflix/eureka,122,80,51,38,22,15,12,9,7,4
robertkrimen/otto,2,2,1,1,1,1,1,1,1,1
react-boilerplate/react-boilerplate,6,2,0,0,0,0,0,0,0,0
scottbez1/smartknob,3,3,2,1,0,0,0,0,0,0
nadbm/react-datasheet,1,0,0,0,0,0,0,0,0,0
ReactiveCocoa/ReactiveCocoa,66,47,39,29,22,15,11,10,5,4
louthy/language-ext,29,17,10,7,5,4,3,3,3,2
prolificinteractive/material-calendarview,2,0,0,0,0,0,0,0,0,0
apache/seatunnel,18,12,11,9,9,7,7,7,7,7
mojs/mojs,4,4,3,3,3,3,3,3,2,2
hubotio/hubot,30,30,15,5,3,3,2,2,2,2
mikf/gallery-dl,122,110,106,101,98,95,89,86,76,70
flike/kingshard,0,0,0,0,0,0,0,0,0,0
bulletphysics/bullet3,8,8,8,4,3,3,1,0,0,0
FredrikNoren/ungit,25,0,0,0,0,0,0,0,0,0
commitizen/cz-cli,73,72,65,27,18,15,9,7,6,6
curlconverter/curlconverter,0,0,0,0,0,0,0,0,0,0
Nevcairiel/LAVFilters,0,0,0,0,0,0,0,0,0,0
linnovate/mean,1,0,0,0,0,0,0,0,0,0
Wilfred/difftastic,2,0,0,0,0,0,0,0,0,0
twitter/twemproxy,0,0,0,0,0,0,0,0,0,0
akveo/ngx-admin,1,1,1,1,1,1,1,1,1,1
zalando/patroni,0,0,0,0,0,0,0,0,0,0
lmcinnes/umap,2,2,2,2,2,2,2,2,2,2
yarolegovich/DiscreteScrollView,0,0,0,0,0,0,0,0,0,0
burnash/gspread,43,32,24,20,20,19,17,16,15,14
reactjs/react-rails,11,9,7,5,3,2,2,2,1,1
matryer/xbar,43,18,13,10,6,3,3,1,1,1
liriliri/eruda,30,9,4,1,0,0,0,0,0,0
grpc/grpc-web,18,17,16,15,15,13,11,9,8,8
mobile-shell/mosh,6,3,2,2,2,2,2,2,2,2
Genymobile/scrcpy,31,29,28,28,27,24,19,18,18,17
kubernetes/kops,151,140,134,131,126,120,118,111,109,107
SwiftKickMobile/SwiftMessages,21,14,7,4,2,1,0,0,0,0
chaijs/chai,36,33,24,21,19,18,14,13,12,10
balderdashy/sails,16,15,13,11,9,6,4,3,3,3
darktable-org/darktable,18,5,1,1,1,1,0,0,0,0
photonstorm/phaser,111,107,105,102,97,95,93,91,85,83
cloudflare/boringtun,4,4,0,0,0,0,0,0,0,0
rlabbe/Kalman-and-Bayesian-Filters-in-Python,0,0,0,0,0,0,0,0,0,0
overtone/overtone,2,0,0,0,0,0,0,0,0,0
yzhao062/pyod,16,10,5,2,1,1,0,0,0,0
gohugoio/hugo,235,230,215,195,186,183,172,164,156,146
marcotcr/lime,0,0,0,0,0,0,0,0,0,0
sindresorhus/pageres,33,20,11,8,5,4,3,3,3,2
Swordfish90/cool-retro-term,2,0,0,0,0,0,0,0,0,0
WebGoat/WebGoat,7,7,7,6,6,5,5,5,5,5
maxgoedjen/secretive,20,18,12,8,6,6,5,4,3,3
gka/chroma.js,2,0,0,0,0,0,0,0,0,0
duplicati/duplicati,18,16,4,3,0,0,0,0,0,0
xtermjs/xterm.js,76,65,60,57,56,55,55,55,52,48
xtaci/kcptun,100,99,99,99,99,99,99,99,99,99
apache/skywalking,17,11,10,9,8,7,6,6,5,4
avajs/ava,86,77,65,62,57,51,43,37,31,27
marcosgriselli/ViewAnimator,2,0,0,0,0,0,0,0,0,0
casesandberg/react-color,11,9,9,7,4,3,3,3,2,2
graphql/graphql-js,127,91,78,71,62,55,48,44,44,39
ageitgey/face_recognition,0,0,0,0,0,0,0,0,0,0
