Repo,1,2,5,10,20,30,40,50,60,70,80,90,100
reactphp/reactphp,1,1,1,1,0,0,0,0,0,0,0,0,0
onsi/ginkgo,1,1,1,1,1,1,1,1,1,1,1,1,0
qishibo/AnotherRedisDesktopManager,1,1,1,1,1,1,1,0,0,0,0,0,0
smicallef/spiderfoot,0,0,0,0,0,0,0,0,0,0,0,0,0
nathancahill/split,1,1,0,0,0,0,0,0,0,0,0,0,0
trazyn/weweChat,1,1,1,1,1,1,1,1,0,0,0,0,0
ant-design/ant-design,1,1,1,1,1,1,1,1,1,1,1,1,0
nikic/PHP-Parser,1,1,1,1,1,0,0,0,0,0,0,0,0
sumatrapdfreader/sumatrapdf,0,0,0,0,0,0,0,0,0,0,0,0,0
dominikh/go-tools,1,1,1,1,1,1,0,0,0,0,0,0,0
nicolargo/glances,1,1,1,1,1,1,1,1,1,1,1,1,0
ionic-team/ionic-framework,1,1,1,1,1,1,1,1,1,1,1,1,0
huginn/huginn,1,1,1,1,1,1,1,1,1,1,1,1,1
dwmkerr/hacker-laws,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-swift,1,1,1,1,1,1,1,0,0,0,0,0,0
seanmonstar/warp,1,1,1,1,0,0,0,0,0,0,0,0,0
exelban/stats,1,1,1,1,1,1,1,1,1,1,0,0,0
ionic-team/ionicons,1,1,1,1,1,1,1,1,1,0,0,0,0
apple/turicreate,1,1,1,1,1,1,1,1,1,1,1,0,0
cosmtrek/air,1,1,1,1,1,1,1,1,1,1,1,1,0
valor-software/ngx-bootstrap,1,1,1,1,1,1,1,1,1,1,1,1,0
nodegit/nodegit,1,1,1,1,1,1,1,1,1,1,0,0,0
cmdr2/stable-diffusion-ui,1,1,1,0,0,0,0,0,0,0,0,0,0
facebook/infer,1,1,1,1,1,1,1,0,0,0,0,0,0
tqdm/tqdm,1,1,1,1,1,1,1,1,1,1,1,0,0
rhysd/vim.wasm,0,0,0,0,0,0,0,0,0,0,0,0,0
liriliri/eruda,1,1,1,1,1,1,1,0,0,0,0,0,0
joerick/pyinstrument,1,1,1,1,1,1,1,1,1,1,1,0,0
python-visualization/folium,1,1,1,1,1,1,1,1,1,1,1,0,0
blakeblackshear/frigate,1,1,1,1,1,1,1,0,0,0,0,0,0
duo-labs/cloudmapper,1,1,1,1,1,1,1,0,0,0,0,0,0
PowerShell/Win32-OpenSSH,1,1,1,1,1,1,1,1,0,0,0,0,0
Automattic/mongoose,1,1,1,1,1,1,1,1,1,1,1,1,0
microsoft/vscode-cpptools,1,1,1,1,1,1,1,1,1,1,1,1,0
kriasoft/react-starter-kit,0,0,0,0,0,0,0,0,0,0,0,0,0
red/red,0,0,0,0,0,0,0,0,0,0,0,0,0
postcss/postcss,1,1,1,0,0,0,0,0,0,0,0,0,0
esimov/caire,1,1,1,1,1,1,0,0,0,0,0,0,0
okonet/lint-staged,1,1,1,1,1,1,1,1,1,1,1,1,0
RichardKnop/machinery,1,1,0,0,0,0,0,0,0,0,0,0,0
caolan/async,1,1,1,1,1,1,1,1,1,1,1,0,0
niklasvh/html2canvas,1,1,1,1,1,1,1,1,1,1,0,0,0
segmentio/evergreen,1,1,1,1,1,1,1,1,1,1,1,1,0
spring-projects/spring-boot,1,1,1,1,1,1,1,1,1,1,1,1,1
koreader/koreader,1,1,1,1,1,1,1,1,1,1,0,0,0
pytorch/pytorch,1,1,1,1,1,1,1,1,1,1,1,0,0
google-deepmind/lab,1,1,1,1,0,0,0,0,0,0,0,0,0
google-deepmind/sonnet,1,1,1,1,1,1,1,1,1,1,1,1,1
mapstruct/mapstruct,1,1,1,1,1,1,1,1,1,1,1,1,1
jpillora/chisel,1,1,1,1,1,1,1,1,0,0,0,0,0
plotly/falcon,1,1,1,1,1,1,1,0,0,0,0,0,0
angular-ui/ui-router,1,1,1,1,1,1,1,1,1,1,1,0,0
spyder-ide/spyder,1,1,1,1,0,0,0,0,0,0,0,0,0
Swordfish90/cool-retro-term,1,1,1,1,1,0,0,0,0,0,0,0,0
marionettejs/backbone.marionette,1,1,1,0,0,0,0,0,0,0,0,0,0
go-sql-driver/mysql,1,1,1,1,1,0,0,0,0,0,0,0,0
pyinstaller/pyinstaller,1,1,1,1,0,0,0,0,0,0,0,0,0
jenssegers/laravel-mongodb,1,1,1,1,1,1,0,0,0,0,0,0,0
sindresorhus/pure,1,1,1,1,1,1,1,1,1,1,1,1,0
symfony/http-foundation,1,1,1,1,1,1,1,1,1,0,0,0,0
asciinema/asciinema,1,1,1,1,0,0,0,0,0,0,0,0,0
php-pm/php-pm,1,1,1,1,1,1,1,1,1,0,0,0,0
aceld/zinx,0,0,0,0,0,0,0,0,0,0,0,0,0
PatrickJS/MFE-starter,0,0,0,0,0,0,0,0,0,0,0,0,0
terkelg/prompts,1,1,1,1,1,1,1,1,1,1,1,0,0
projectdiscovery/subfinder,1,1,1,1,1,1,1,1,1,1,0,0,0
shadowsocks/ShadowsocksX-NG,1,1,1,1,1,1,1,1,1,0,0,0,0
harelba/q,1,1,1,1,1,1,1,1,0,0,0,0,0
nodemailer/nodemailer,1,1,1,1,1,1,1,1,1,1,1,1,1
ant-design/ant-design-pro,1,1,1,1,1,1,1,1,1,0,0,0,0
rancher/rancher,1,1,1,1,1,1,1,1,1,0,0,0,0
tendermint/tendermint,1,1,1,1,1,1,1,1,0,0,0,0,0
vega/vega,1,1,1,1,1,1,1,0,0,0,0,0,0
daimajia/NumberProgressBar,1,1,1,1,1,1,1,1,1,1,1,1,1
airbnb/visx,1,1,1,1,1,1,1,1,1,1,1,1,0
google/python-fire,1,1,1,1,1,1,1,1,1,0,0,0,0
JessYanCoding/MVPArms,1,1,1,1,1,1,0,0,0,0,0,0,0
bchavez/Bogus,0,0,0,0,0,0,0,0,0,0,0,0,0
containers/podman,1,1,1,1,1,1,1,1,1,0,0,0,0
google/sentencepiece,1,1,0,0,0,0,0,0,0,0,0,0,0
lets-blade/blade,0,0,0,0,0,0,0,0,0,0,0,0,0
beego/beego,1,1,1,1,1,1,1,1,1,1,1,1,0
g-truc/glm,1,1,1,1,1,1,1,1,1,1,1,1,0
gevent/gevent,1,1,1,1,1,1,1,1,0,0,0,0,0
Anuken/Mindustry,0,0,0,0,0,0,0,0,0,0,0,0,0
dylanaraps/neofetch,1,1,1,1,1,1,1,0,0,0,0,0,0
aws/aws-sdk-js,1,1,1,0,0,0,0,0,0,0,0,0,0
Carthage/Carthage,1,1,1,1,1,1,1,1,1,1,1,1,0
neuecc/UniRx,1,1,1,1,0,0,0,0,0,0,0,0,0
ipfs/kubo,1,1,1,1,1,1,1,1,1,1,1,0,0
aFarkas/lazysizes,1,1,1,1,1,1,1,0,0,0,0,0,0
ranaroussi/yfinance,1,1,1,1,1,1,1,1,1,1,0,0,0
hashicorp/terraform-provider-aws,1,1,1,1,1,1,1,1,1,1,1,1,0
egulias/EmailValidator,1,1,1,1,1,1,1,1,1,1,1,0,0
lightningnetwork/lnd,1,1,1,1,1,1,1,1,1,1,1,1,0
spf13/cobra,1,1,1,1,1,1,1,1,1,1,1,0,0
ZipArchive/ZipArchive,1,1,1,1,1,1,1,1,1,0,0,0,0
binux/pyspider,1,1,1,0,0,0,0,0,0,0,0,0,0
rwaldron/johnny-five,1,1,1,1,1,1,1,1,1,1,1,1,1
